1018 1701447317 0,127751 0,200000 0,127751 0,127751 0,003264
1024 1701447317 0,527577 0,200000 0,527577 0,527577 0,055667
1006 1701447317 0,180687 0,200000 0,180687 0,180687 0,006530
1033 1701447317 1,244026 0,200000 1,244026 1,244026 0,309520
1027 1701447317 0,000444 0,200000 0,000444 0,000444 0,000000
1030 1701447317 0,126123 0,200000 0,126123 0,126123 0,003181
1009 1701447317 0,060519 0,200000 0,060519 0,060519 0,000733
1012 1701447317 0,114534 0,200000 0,114534 0,114534 0,002624
1021 1701447317 0,105840 0,200000 0,105840 0,105840 0,002240
1015 1701447317 1,244266 0,200000 1,244266 1,244266 0,309640
1018 1701447318 0,127751 0,200000 0,127751 0,127751 0,003264
1024 1701447318 0,527577 0,200000 0,527577 0,527577 0,055667
1006 1701447318 0,180687 0,200000 0,180687 0,180687 0,006530
1033 1701447318 1,244026 0,200000 1,244026 1,244026 0,309520
1027 1701447318 0,000444 0,200000 0,000444 0,000444 0,000000
1030 1701447318 0,126123 0,200000 0,126123 0,126123 0,003181
1009 1701447318 0,060519 0,200000 0,060519 0,060519 0,000733
1012 1701447318 0,114534 0,200000 0,114534 0,114534 0,002624
1021 1701447318 0,105840 0,200000 0,105840 0,105840 0,002240
1015 1701447318 1,244266 0,200000 1,244266 1,244266 0,309640
1018 1701447319 0,127751 0,200000 0,127751 0,127751 0,003264
1024 1701447319 0,527577 0,200000 0,527577 0,527577 0,055667
1006 1701447319 0,180687 0,200000 0,180687 0,180687 0,006530
1033 1701447319 1,244026 0,200000 1,244026 1,244026 0,309520
1027 1701447319 0,000444 0,200000 0,000444 0,000444 0,000000
1030 1701447319 0,126123 0,200000 0,126123 0,126123 0,003181
1009 1701447319 0,060519 0,200000 0,060519 0,060519 0,000733
1012 1701447319 0,114534 0,200000 0,114534 0,114534 0,002624
1021 1701447319 0,105840 0,200000 0,105840 0,105840 0,002240
1015 1701447319 1,244266 0,200000 1,244266 1,244266 0,309640
1018 1701447320 0,127751 0,200000 0,127751 0,127751 0,003264
1024 1701447320 0,527577 0,200000 0,527577 0,527577 0,055667
1006 1701447320 0,180687 0,200000 0,180687 0,180687 0,006530
1033 1701447320 1,244026 0,200000 1,244026 1,244026 0,309520
1027 1701447320 0,000444 0,200000 0,000444 0,000444 0,000000
1030 1701447320 0,126123 0,200000 0,126123 0,126123 0,003181
1009 1701447320 0,060519 0,200000 0,060519 0,060519 0,000733
1012 1701447320 0,114534 0,200000 0,114534 0,114534 0,002624
1021 1701447320 0,105840 0,200000 0,105840 0,105840 0,002240
1015 1701447320 1,244266 0,200000 1,244266 1,244266 0,309640
1018 1701447321 0,127751 0,200000 0,127751 0,127751 0,003264
1024 1701447321 0,527577 0,200000 0,527577 0,527577 0,055667
1006 1701447321 0,180687 0,200000 0,180687 0,180687 0,006530
1033 1701447321 1,244026 0,200000 1,244026 1,244026 0,309520
1027 1701447321 0,000444 0,200000 0,000444 0,000444 0,000000
1030 1701447321 0,126123 0,200000 0,126123 0,126123 0,003181
1009 1701447321 0,060519 0,200000 0,060519 0,060519 0,000733
1012 1701447321 0,114534 0,200000 0,114534 0,114534 0,002624
1021 1701447321 0,105840 0,200000 0,105840 0,105840 0,002240
1015 1701447321 1,244266 0,200000 1,244266 1,244266 0,309640
1018 1701447322 0,083220 0,200000 0,083220 0,083220 0,001385
1048 1701447322 0,651890 0,200000 0,651890 0,651890 0,084992
1006 1701447322 0,165268 0,200000 0,165268 0,165268 0,005463
