1004 1701447317 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447318 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447319 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447320 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447321 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447322 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447323 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447324 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447325 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447326 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447327 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447328 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447329 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447330 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447331 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447332 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447333 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447334 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447335 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447336 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447337 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447338 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447339 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447340 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447341 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447342 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447343 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447344 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447345 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447346 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447347 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447348 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447349 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447350 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447351 1,600000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447352 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447353 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447354 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447355 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447356 1,800000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447357 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447358 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447359 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447360 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447361 1,200000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447362 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447363 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447364 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447365 2,000000 -1,000000 -101,000000 0,000000 0,000000
1004 1701447366 2,000000 -1,000000 -101,000000 0,000000 0,000000
