offline_datapoint_8 1701447319 1225898,000
offline_datapoint_2 1701447319 2787,000
offline_datapoint_23 1701447319 417452032,000
offline_datapoint_11 1701447319 363950080,000
offline_datapoint_0 1701447319 9892757504,000
offline_datapoint_6 1701447319 132804608,000
offline_datapoint_22 1701447319 3592,000
offline_datapoint_16 1701447317 1794,910
offline_datapoint_5 1701447317 22486,955
offline_datapoint_18 1701447319 132804608,000
offline_datapoint_28 1701447317 356,001
offline_datapoint_17 1701447319 6019727360,000
offline_datapoint_4 1701447319 5840314368,000
offline_datapoint_3 1701447317 0,477
offline_datapoint_9 1701447317 49,313
offline_datapoint_21 1701447317 18,137
offline_datapoint_10 1701447317 15221,063
offline_datapoint_15 1701447319 0,000
offline_datapoint_27 1701447317 13483,084
offline_datapoint_13 1701447317 15848,280
offline_datapoint_25 1701447317 137,158
offline_datapoint_14 1701447317 301,514
offline_datapoint_7 1701447317 97,226
offline_datapoint_26 1701447317 1,222
offline_datapoint_19 1701447317 22933,368
offline_datapoint_1 1701447317 4,115
offline_datapoint_8 1701447321 1225898,000
offline_datapoint_2 1701447321 2786,000
offline_datapoint_23 1701447321 417452032,000
offline_datapoint_11 1701447321 364986368,000
offline_datapoint_0 1701447321 9894555648,000
offline_datapoint_6 1701447321 132292608,000
offline_datapoint_22 1701447321 3591,000
offline_datapoint_16 1701447320 12,585
offline_datapoint_5 1701447320 2546,843
offline_datapoint_18 1701447321 132292608,000
offline_datapoint_28 1701447320 1,049
offline_datapoint_17 1701447321 6021865472,000
offline_datapoint_4 1701447321 5842018304,000
offline_datapoint_3 1701447320 0,205
offline_datapoint_9 1701447320 9,904
offline_datapoint_21 1701447320 5,529
offline_datapoint_10 1701447320 6249,912
offline_datapoint_15 1701447321 0,000
offline_datapoint_27 1701447320 9171,153
offline_datapoint_13 1701447320 154,688
offline_datapoint_25 1701447320 0,654
offline_datapoint_14 1701447320 70,265
offline_datapoint_7 1701447320 98,920
offline_datapoint_26 1701447320 6,292
offline_datapoint_19 1701447320 19073,910
offline_datapoint_1 1701447320 0,020
offline_datapoint_8 1701447324 1225898,000
offline_datapoint_2 1701447324 2790,000
offline_datapoint_23 1701447324 417865728,000
offline_datapoint_11 1701447324 365342720,000
offline_datapoint_0 1701447324 9917558784,000
offline_datapoint_6 1701447324 131989504,000
offline_datapoint_22 1701447324 3584,000
offline_datapoint_16 1701447322 6,997
offline_datapoint_5 1701447322 15843,978
offline_datapoint_18 1701447324 131989504,000
offline_datapoint_28 1701447322 2,999
offline_datapoint_17 1701447324 6041890816,000
offline_datapoint_4 1701447324 5847412736,000
offline_datapoint_3 1701447322 0,521
offline_datapoint_9 1701447322 14,738
offline_datapoint_21 1701447322 6,378
offline_datapoint_10 1701447322 9772,952
offline_datapoint_15 1701447324 0,000
offline_datapoint_27 1701447322 12808,132
offline_datapoint_13 1701447322 2560,027
offline_datapoint_25 1701447322 0,535
offline_datapoint_14 1701447322 30,655
